Glyph Number,Page,Position,NWL Section,NWL Pronunciation
3873,186,4,Kanji,Sen
3885,186,5,Kanji,Ryō
3889,186,6,Kanji,"Shoku, Shiki"
3909,186,7,Kanji,"Ke, Ka"
3926,186,8,Kanji,"Jaku, Nya"
3939,186,9,Kanji,Sō
3940,186,10,Kanji,"Sa, Cha"
3956,186,11,Kanji,Ka
3981,186,12,Kanji,Kiku
4001,186,13,Kanji,Yō
4002,186,14,Kanji,"Jō, Shō"
4074,186,15,Kanji,Yaku
4109,186,16,Kanji,"Kyo, Ko"
4115,186,17,Kanji,Chū
4205,186,18,Kanji,Ketsu
4213,186,19,Kanji,"An, Kō, Gyō"
4214,186,20,Kanji,"E, I"
4234,187,1,Kanji,"Sō, Shō"
4255,187,2,Kanji,Fuku
4273,187,3,Kanji,"Sei, Sai"
4274,187,4,Kanji,Yō
4284,187,5,Kanji,"Ken, Gen"
4301,187,6,Kanji,Kaku
4306,187,7,Kanji,"Ge, Kai"
4309,187,8,Kanji,"Gen, Gon"
4312,187,9,Kanji,Kei
4318,187,10,Kanji,Ki
4341,187,11,Kanji,Shō
4358,187,12,Kanji,Wa
4374,187,13,Kanji,"Go, Gyo"
4375,187,14,Kanji,"Toku, Doku"
4384,187,15,Kanji,Sui
4391,187,16,Kanji,Ron
4458,187,17,Kanji,Koku
4465,187,18,Kanji,"Tō, Zu"
4472,187,19,Kanji,"Shō, Zō"
4486,187,20,Kanji,Bai
4488,188,1,Kanji,Fu
4518,188,2,Kanji,Shitsu
4534,188,3,Kanji,"Seki, Shaku"
4539,188,4,Kanji,Sō
4543,188,5,Kanji,Chō
4546,188,6,Kanji,Soku
4548,188,7,Kanji,Kyo
4561,188,8,Kanji,Ro
4601,188,9,Kanji,Shin
4603,188,10,Kanji,Sha
4608,188,11,Kanji,Sha
4610,188,12,Kanji,Ki
4615,188,13,Kanji,Ten
4619,188,14,Kanji,Jiku
4620,188,15,Kanji,Kei
4623,188,16,Kanji,"Kaku, Kō"
4630,188,17,Kanji,Rin
4633,188,18,Kanji,Fuku
4646,188,19,Kanji,Shin
4660,188,20,Kanji,
4661,189,1,Kanji,Hen
4671,189,2,Kanji,Kin
4685,189,3,Kanji,"Gyaku, Geki"
4700,189,4,Kanji,Soku
4701,189,5,Kanji,Zō
4702,189,6,Kanji,Ren
4703,189,7,Kanji,"Tsu, Tō, Tsū"
4709,189,8,Kanji,Shin
4721,189,9,Kanji,Tatsu
4722,189,10,Kanji,Chi
4723,189,11,Kanji,Ka
4724,189,12,Kanji,Dō
4725,189,13,Kanji,Un
4733,189,14,Kanji,"En, On"
4750,189,15,Kanji,"Kan, Gen"
4789,189,16,Kanji,San
4798,189,17,Kanji,Shū
4809,189,18,Kanji,"Shaku, Seki"
4811,189,19,Kanji,Ban
4813,189,20,Kanji,Ri
4815,190,1,Kanji,"Kon, Kin"
4843,190,2,Kanji,Kō
4844,190,3,Kanji,Tetsu
4853,190,4,Kanji,Dō
4855,190,5,Kanji,Gin
4883,190,6,Kanji,Kō
