Glyph Number,Page,Position,Section,NBS Glyph Number
1111,113,11,"Duplex, Indexical",1111
1112,113,12,"Duplex, Indexical",1112
1113,113,13,"Duplex, Indexical",1113
1114,113,14,"Duplex, Indexical",1114
1115,113,15,"Duplex, Indexical",1115
1116,113,16,"Duplex, Indexical",1116
1117,113,17,"Duplex, Indexical",1117
1118,113,18,"Duplex, Indexical",1118
1119,113,19,"Duplex, Indexical",1119
1120,113,20,"Duplex, Indexical",1120
1121,114,1,"Duplex, Indexical",1121
1122,114,2,"Duplex, Indexical",1122
1123,114,3,"Duplex, Indexical",1123
1124,114,4,"Duplex, Indexical",1124
1125,114,5,"Duplex, Indexical",1125
1126,114,6,"Duplex, Indexical",1126
1127,114,7,"Duplex, Indexical",1127
1128,114,8,"Duplex, Indexical",1128
1129,114,9,"Duplex, Indexical",1129
1130,114,10,"Duplex, Indexical",1130
1131,114,11,"Duplex, Indexical",1131
1132,114,12,"Duplex, Indexical",1132
1133,114,13,"Duplex, Indexical",1133
1134,114,14,"Duplex, Indexical",1134
1135,114,15,"Duplex, Indexical",1135
1136,114,16,"Duplex, Indexical",1136
1137,114,17,"Duplex, Indexical",1137
1138,114,18,"Duplex, Indexical",1138
1139,114,19,"Duplex, Indexical",1139
1140,114,20,"Duplex, Indexical",1140
1141,115,1,"Duplex, Indexical",1141
1142,115,2,"Duplex, Indexical",1142
1143,115,3,"Duplex, Indexical",1143
1144,115,4,"Duplex, Indexical",1144
1145,115,5,"Duplex, Indexical",1145
1146,115,6,"Duplex, Indexical",1146
1147,115,7,"Duplex, Indexical",1147
1148,115,8,"Duplex, Indexical",1148
1149,115,9,"Duplex, Indexical",1149
1150,115,10,"Duplex, Indexical",1150
1151,115,11,"Duplex, Indexical",1151
1152,115,12,"Duplex, Indexical",1152
1153,115,13,"Duplex, Indexical",1153
1154,115,14,"Duplex, Indexical",1154
1155,115,15,"Duplex, Indexical",1155
1156,115,16,"Duplex, Indexical",1156
1157,115,17,"Duplex, Indexical",1157
1158,115,18,"Duplex, Indexical",1158
1159,115,19,"Duplex, Indexical",1159
1160,115,20,"Duplex, Indexical",1160
1161,116,1,"Duplex, Indexical",1161
1162,116,2,"Duplex, Indexical",1162
1163,116,3,"Duplex, Indexical",1163
1164,116,4,"Duplex, Indexical",1164
1165,116,5,"Duplex, Indexical",1165
1166,116,6,"Duplex, Indexical",1166
1167,116,7,"Duplex, Indexical",1167
1168,116,8,"Duplex, Indexical",1168
1169,116,9,"Duplex, Indexical",1169
1170,116,10,"Duplex, Indexical",1170
1171,116,11,"Duplex, Indexical",1171
1172,116,12,"Duplex, Indexical",1172
1173,116,13,"Duplex, Indexical",1173
1174,116,14,"Duplex, Indexical",1174
1175,116,15,"Duplex, Indexical",1175
1176,116,16,"Duplex, Indexical",1176
1177,117,1,"Duplex, Indexical",1177
1178,117,2,"Duplex, Indexical",1178
1179,117,3,"Duplex, Indexical",1179
1180,117,4,"Duplex, Indexical",1180
1181,117,5,"Duplex, Indexical",1181
1184,117,6,"Duplex, Indexical",1184
1185,117,7,"Duplex, Indexical",1185
1186,117,8,"Duplex, Indexical",1186
1191,117,11,"Duplex, Indexical",1191
1192,117,12,"Duplex, Indexical",1192
1193,117,13,"Duplex, Indexical",1193
1194,117,14,"Duplex, Indexical",1194
1195,117,15,"Duplex, Indexical",1195
1198,117,19,"Duplex, Indexical",1198
1199,117,20,"Duplex, Indexical",1199
1200,118,1,"Duplex, Indexical",1200
1201,118,2,"Duplex, Indexical",1201
1202,118,3,"Duplex, Indexical",1202
1203,118,4,"Duplex, Indexical",1203
1204,118,5,"Duplex, Indexical",1204
1205,118,6,"Duplex, Indexical",1205
1206,118,7,"Duplex, Indexical",1206
1207,118,8,"Duplex, Indexical",1207
1208,118,9,"Duplex, Indexical",1208
1209,118,10,"Duplex, Indexical",1209
1210,118,11,"Duplex, Indexical",1210
1211,118,12,"Duplex, Indexical",1211
1212,118,13,"Duplex, Indexical",1212
