Glyph Number,Left Bearing,Right Bearing,SVG Path
273,-14,13,M-8-8L8-8L6-10L4-8M4-8L7-9M-11 6L11 6L9 4L7 6M7 6L10 5
275,-14,13,M-9-10L9-10L7-12L5-10M5-10L8-11M-11-4L11-4L9-6L7-4M7-4L10-5M-4-4L-4 0L-5 4L-6 6L-8 8L-10 9M-3-4L-3 0L-4 4L-5 6L-7 8L-10 9L-11 9M2-4L2 8L3 9L10 9L11 8L10 6M9 8L10 8L10 7M3-4L3 7L4 8L8 8L10 6L11 3
283,-14,13,M0-9L1-10L-1-11L-1-5M0-10L0-5M-11-5L11-5L9-7L7-5M7-5L10-6M-5-1L-6 2L-8 6L-10 9M-4 0L-5 2M-5-1L-3 0L-5 3L-8 7L-10 9M2-1L4 1L7 5L8 7L9 8L10 7L9 5L6 2L2-1M7 4L9 7
284,-14,13,M0-9L0-11L1-12L-1-12L-1-9M-11-9L11-9L9-10L8-9M0-6L1-7L-1-7L-1 10M0-6L0 10M-6-3L-8-4L-8 9M-7-3L-7 9M-7-3L6-3M5-3L6-4L8-3L7-1M6-3L6 7L5 8M7-3L7 7L6 9L5 8L3 7
285,-14,13,M-3-13L-2-12L-1-9L0-9L0-10L-1-12L-3-13M-10-8L10-8L8-10L6-8L9-9M-1-8L-1 9M0-8L0 9M-9 0L9 0L7-2L5 0L8-1M-11 9L11 9L9 7L7 9L10 8
290,-14,13,M0-10L0-12L1-13L-1-13L-1-10M-11-10L11-10L9-11L8-10M-5-8L-7-6L-11-3M-5-8L-4-7L-7-5L-11-3M3-8L6-6L9-3L10-3L10-4L7-6L3-8M3-2L5-3L3-4L2-1L0 2L-3 5L-6 7L-8 8L-11 9M4-3L3-1L1 2L-2 5L-5 7L-7 8L-11 9M-4-4L-7-2L-7 0M-4-4L-7 0M-4-4L-3-1L-1 2L2 5L5 7L9 9L11 8M-1 2L3 5L7 7L11 8
295,-14,13,M0-11L0-12L1-13L-1-13L-1-11M-11-11L11-11L9-13L7-11M7-11L10-12M-6-7L-8-8L-8 0M-7-7L-7 0M-7-7L6-7M5-7L6-8L8-7L7-5M6-7L6 0M7-7L7 0M-7-1L6-1M-1-1L-1 6L-2 8L-3 9M-1 7L-1 8L-2 9M0-1L0 8L-1 10L-2 10L-3 9L-5 8M-6 2L-11 7M-6 2L-5 3L-11 7M4 2L6 4L8 7L9 7L9 6L8 5L4 2
298,-14,13,M0-10L0-12L1-13L-1-13L-1-10M-11-10L11-10L9-11L8-10M-6-9L-7-6L-9-1L-11 2M-6-9L-5-8L-7-4L-8-2L-11 2M-8-2L-8 10M-7-4L-7 10M1-9L0-6L-2-2L-4 1M1-9L2-8L1-6L-1-3L-4 1M1-6L9-6M8-6L7-3L5 1L3 4L0 7L-3 9M7-6L8-7L9-6L8-3L6 1L4 4L2 6L-1 8L-3 9L-6 10M0-4L1-3L3 0L4 0L4-1L3-2L0-4M-2-2L-1 1L1 4L3 6L6 8L9 9L11 8M1 4L4 6L7 7L11 8
306,-14,13,M0-10L0-12L1-13L-1-13L-1-10M-11-10L11-10L9-11L8-10M-3-10L-4-7L-6-4L-8-2M-2-10L-3-7L-5-4L-8-2L-10-1M1-10L1-4L0-3M2-10L2-4L1-2L0-3L-2-4M-8-8L-11-4M-8-8L-7-7L-11-4M5-8L6-7L8-4L9-4L9-5L8-6L5-8M-3-2L-7 3L-11 7M-3-2L-2-1L-5 2L-11 7M-4 1L6 1M5 0L3 3L0 6L-3 8L-5 9M4 1L5 0L6 1L2 5L-2 8L-5 9L-9 10M-4 1L-3 3L-1 6L2 8L5 9L9 10L11 9M-3 3L-1 5L2 7L5 8L11 9
319,-14,13,M0-10L0-12L1-13L-1-13L-1-10M-10-10L10-10L8-11L7-10M-1-10L-3-5M-1-10L0-9L-3-5M-5-6L-4-5L-3-3L-2-3L-2-4L-3-5L-5-6M3-7L-1-1M3-7L4-6L-1-1M-6 0L3-1M-6 0L-5 1L3-1M3-2L4-1L5 1L6 1L6 0L5-1L3-2M-10-8L-9-7L-8-5L-7-5L-7-6L-8-7L-10-8M8-8L6-5M8-8L9-7L6-5M-7-3L-10 0L-9 1M-7-3L-9 1M6-3L7-2L9 1L10 1L10 0L9-1L6-3M0 3L1 2L-1 1L-1 10M0 2L0 10M-11 4L11 4L9 3L8 4
321,-14,13,M0-11L0-12L1-13L-1-13L-1-11M-11-11L11-11L9-12L8-11M-5-10L-4-9L-3-7L-2-7L-2-8L-3-9L-5-10M3-10L2-7M3-10L4-9L2-7M-8-6L-10-7L-10 9M-9-6L-9 9M-9-6L8-6M7-6L8-7L10-6L9-4M8-6L8 7L7 8M9-6L9 7L8 9L7 8L5 7M-3-6L-4-3L-5-1M-3-6L-2-5L-3-3L-5-1L-7 0M1-6L1-2L2-1L5-1L6-2L5-3M2-6L2-3L3-2L4-2L5-3L5-4M-4 1L-4 8M-4 1L-3 2L-3 8M-3 2L2 2M2 2L2 8M1 2L2 1L3 2L3 8M-3 7L2 7
339,-14,13,M-1-12L-1-6L-2-1L-4 3L-6 6L-8 8L-11 10M0-11L0-7M-1-12L1-11L0-4L-1 0L-3 4L-6 7L-9 9L-11 10M1-11L1-7L2-1L3 2L4 4L6 7L9 10L11 9M7 7L9 9M1-7L2-2L4 2L6 5L8 7L11 9
350,-14,13,M-5-12L-7-7L-9-3L-11 1M-5-12L-4-11L-5-9L-9-2L-11 1M-7-6L-7 9M-6-7L-6 9M2-10L3-11L1-12L1 8L2 9L10 9L11 8L10 6M9 8L10 8L10 7M2-11L2 7L3 8L8 8L10 6L11 3M9-7L2-1M9-7L10-6L2-1
352,-14,13,M1-12L-1-12L-2-10L-4-7L-7-4L-10-2M0-12L-2-9M1-12L-2-8L-5-5L-8-3L-10-2M1-11L2-9L4-6L6-4L9-2L11-3M7-4L9-3M2-9L5-6L8-4L11-3M-5-3L4-3L3-4L2-3M-6 2L4 2M3 2L4 1L6 2L4 5M4 2L3 10M5 2L4 10
361,-14,13,M-6-12L-7-9L-9-4L-11 0M-6-12L-5-11L-7-7L-11 0M-8-5L-8 10M-7-7L-7 10M3-10L4-11L2-12L2 5M3-11L3 5M-2-6L-1-7L-3-8L-3 8L-2 9L10 9L11 8L10 6M9 8L10 8L10 7M-2-7L-2 7L-1 8L8 8L10 6L11 3M-6 0L6-7L7-7M6-7L7-8L9-7L8-5M7-7L7 0L6 1M8-7L8 0L7 2L6 1L4 0
362,-14,13,M-5-12L-9-3L-11 1M-5-12L-4-11L-6-7L-9-2L-11 1M-7-5L-7 10M-6-7L-6 10M4-10L5-11L3-12L3 9M4-11L4 9M-3-4L11-4L9-6L7-4L10-5M-2 9L10 9L8 7L6 9L9 8
364,-14,13,M-6-12L-7-8L-9-3L-11 1M-6-12L-5-11L-6-8L-8-4L-11 1M-8-4L-8 10M-7-6L-7 10M1-11L2-12L0-12L0-7L1-1L2 2L3 4L5 7L7 9L9 10L10 10L11 9L10 8M6 7L7 8L9 9L10 9M1-11L1-7L2-1L3 2L5 5L7 7L9 8L10 8L11 5M4-12L5-11L6-9L7-9L7-10L6-11L4-12M-7-6L11-7L9-8L8-7
383,-14,13,M1-12L-1-12L-2-10L-4-7L-7-4L-10-2M0-12L-2-9M1-12L-2-8L-5-5L-8-3L-10-2M1-11L2-9L4-6L6-4L9-2L11-3M7-4L9-3M2-9L5-6L8-4L11-3M-5-2L5-2L4-3L3-2M-4 2L-6 1L-6 10M-5 2L-5 10M-5 2L5 2M4 2L5 1L7 2L6 4M5 2L5 10M6 2L6 10M-5 9L5 9
